date,county,state,fips,cases,deaths,daily_cases,daily_deaths,day_of_week,is_weekend
30/09/2021,burke,north carolina,37023,14805.0,200.0,81.0,1.0,3.0,0.0
3/12/2021,bolivar,mississippi,28011,6468.0,151.0,0.0,0.0,4.0,0.0
28/05/2021,benton,tennessee,47005,1679.0,41.0,0.0,0.0,4.0,0.0
10/08/2021,waupaca,wisconsin,55135,6263.0,167.0,20.0,0.0,1.0,0.0
2/09/2021,rockdale,georgia,13247,9851.0,193.0,35.0,0.0,3.0,0.0
19/01/2021,kittitas,washington,53037,1976.0,30.0,23.0,0.0,1.0,0.0
26/03/2021,elmore,idaho,16039,1741.0,13.0,6.0,0.0,4.0,0.0
3/05/2021,sumner,kansas,20191,2163.0,51.0,5.0,0.0,0.0,0.0
28/04/2021,pine,minnesota,27115,3190.0,21.0,7.0,0.0,2.0,0.0
12/10/2021,hawkins,tennessee,47073,9985.0,163.0,20.0,0.0,1.0,0.0
4/06/2021,russell,virginia,51167,2295.0,39.0,0.0,0.0,4.0,0.0
8/06/2021,hidalgo,new mexico,35023,364.0,9.0,0.0,0.0,1.0,0.0
9/05/2021,hamilton,tennessee,47065,44538.0,494.0,37.0,0.0,6.0,1.0
22/12/2021,rock,minnesota,27133,1831.0,32.0,4.0,0.0,2.0,0.0
10/09/2021,baltimore,maryland,24005,71032.0,1738.0,155.0,5.0,4.0,0.0
28/06/2021,peach,georgia,13225,2723.0,70.0,1.0,0.0,0.0,0.0
26/11/2021,eastland,texas,48133,2205.0,82.0,0.0,0.0,4.0,0.0
12/01/2021,taylor,wisconsin,55119,1857.0,19.0,7.0,0.0,1.0,0.0
16/02/2021,washington,maryland,24043,12103.0,245.0,14.0,2.0,1.0,0.0
1/07/2021,polk,texas,48373,3417.0,120.0,0.0,0.0,3.0,0.0

